Flight ID,Journey Date,Days Before Journey Date,Fare (Rupees),Fare (GBP)
1,06/03/2023,50,9840,98.4
2,06/03/2023,50,9840,98.4
3,16/01/2023,1,11625,116.25
4,23/01/2023,8,9909,99.09
5,30/01/2023,15,8895,88.95
6,30/01/2023,15,8895,88.95
7,06/02/2023,22,7704,77.04
8,06/02/2023,22,7704,77.04
9,13/02/2023,29,7704,77.04
10,20/02/2023,36,8895,88.95
11,20/02/2023,36,7704,77.04
12,27/02/2023,43,9139,91.39
13,27/02/2023,43,7704,77.04
14,27/02/2023,43,7704,77.04
15,06/03/2023,50,8614,86.14
16,06/03/2023,50,8895,88.95
17,06/03/2023,50,8895,88.95
18,16/01/2023,1,6872,68.72
19,16/01/2023,1,6872,68.72
20,23/01/2023,8,5291,52.91
21,23/01/2023,8,5291,52.91
22,30/01/2023,15,7319,73.19
23,30/01/2023,15,5291,52.91
24,06/02/2023,22,4827,48.27
25,06/02/2023,22,4827,48.27
26,13/02/2023,29,5291,52.91
27,20/02/2023,36,5291,52.91
28,27/02/2023,43,4827,48.27
29,06/03/2023,50,7448,74.48
30,16/01/2023,1,11546,115.46
31,30/01/2023,15,9267,92.67
32,06/02/2023,22,8740,87.4
33,13/02/2023,29,8740,87.4
34,20/02/2023,36,8740,87.4
35,27/02/2023,43,8740,87.4
36,06/03/2023,50,8740,87.4
37,21/01/2023,6,24653,246.53
38,28/01/2023,13,17505,175.05
39,04/02/2023,20,16568,165.68
40,11/02/2023,27,11423,114.23
41,18/02/2023,34,9147,91.47
42,25/02/2023,41,10793,107.93
43,04/03/2023,48,9638,96.38
44,28/01/2023,13,11270,112.7
45,11/02/2023,27,7807,78.07
46,18/02/2023,34,6149,61.49
47,25/02/2023,41,6149,61.49
48,04/03/2023,48,6149,61.49
49,21/01/2023,6,10386,103.86
50,21/01/2023,6,10386,103.86
51,28/01/2023,13,8895,88.95
52,28/01/2023,13,7732,77.32
53,04/02/2023,20,8895,88.95
54,04/02/2023,20,8895,88.95
55,28/01/2023,13,11205,112.05
56,28/01/2023,13,11205,112.05
57,18/02/2023,34,9840,98.4
58,18/02/2023,34,9840,98.4
59,18/02/2023,34,9840,98.4
60,18/02/2023,34,9840,98.4
61,04/03/2023,48,9840,98.4
62,04/03/2023,48,9840,98.4
63,04/03/2023,48,9840,98.4
64,04/03/2023,48,9840,98.4
65,28/01/2023,13,12045,120.45
66,28/01/2023,13,9489,94.89
67,04/02/2023,20,8649,86.49
68,04/02/2023,20,8649,86.49
69,11/02/2023,27,9420,94.2
70,11/02/2023,27,8895,88.95
71,18/02/2023,34,16560,165.6
72,18/02/2023,34,7704,77.04
73,18/02/2023,34,7704,77.04
74,25/02/2023,41,7704,77.04
75,25/02/2023,41,7704,77.04
76,04/03/2023,48,9630,96.3
77,21/01/2023,6,6872,68.72
78,21/01/2023,6,6872,68.72
79,28/01/2023,13,6375,63.75
80,28/01/2023,13,5291,52.91
81,04/02/2023,20,6375,63.75
82,04/02/2023,20,4827,48.27
83,11/02/2023,27,4827,48.27
84,11/02/2023,27,4827,48.27
85,18/02/2023,34,4827,48.27
86,25/02/2023,41,4827,48.27
87,04/03/2023,48,7448,74.48
88,28/01/2023,13,11367,113.67
89,04/02/2023,20,13257,132.57
90,11/02/2023,27,9267,92.67
91,18/02/2023,34,9057,90.57
92,25/02/2023,41,9267,92.67
93,04/03/2023,48,10631,106.31
94,22/01/2023,7,16778,167.78
95,29/01/2023,14,15405,154.05
96,12/02/2023,28,11199,111.99
97,19/02/2023,35,17394,173.94
98,26/02/2023,42,8622,86.22
99,05/03/2023,49,10793,107.93
100,29/01/2023,14,12043,120.43
101,12/02/2023,28,7200,72.0
102,19/02/2023,35,6804,68.04
103,26/02/2023,42,6149,61.49
104,05/03/2023,49,6545,65.45
105,22/01/2023,7,10386,103.86
106,22/01/2023,7,10386,103.86
107,29/01/2023,14,11751,117.51
108,29/01/2023,14,11751,117.51
109,29/01/2023,14,10386,103.86
110,29/01/2023,14,10386,103.86
111,22/01/2023,7,10731,107.31
112,29/01/2023,14,7070,70.7
113,29/01/2023,14,13304,133.04
114,29/01/2023,14,12359,123.59
115,29/01/2023,14,11519,115.19
116,05/02/2023,21,10260,102.6
117,05/02/2023,21,10103,101.03
118,05/02/2023,21,9840,98.4
119,19/02/2023,35,9840,98.4
120,05/03/2023,49,9840,98.4
121,05/03/2023,49,9840,98.4
122,05/03/2023,49,9840,98.4
123,05/03/2023,49,9840,98.4
124,29/01/2023,14,10959,109.59
125,05/02/2023,21,9489,94.89
126,12/02/2023,28,9069,90.69
127,19/02/2023,35,8895,88.95
128,19/02/2023,35,7704,77.04
129,26/02/2023,42,7704,77.04
130,26/02/2023,42,7704,77.04
131,05/03/2023,49,8895,88.95
132,05/03/2023,49,8895,88.95
133,22/01/2023,7,6872,68.72
134,22/01/2023,7,6872,68.72
135,29/01/2023,14,15316,153.16
136,29/01/2023,14,13332,133.32
137,05/02/2023,21,6375,63.75
138,05/02/2023,21,6375,63.75
139,12/02/2023,28,9287,92.87
140,12/02/2023,28,9287,92.87
141,19/02/2023,35,10922,109.22
142,26/02/2023,42,5291,52.91
143,05/03/2023,49,8534,85.34
144,29/01/2023,14,15012,150.12
145,05/02/2023,21,9897,98.97
146,12/02/2023,28,11021,110.21
147,19/02/2023,35,8740,87.4
148,26/02/2023,42,8740,87.4
149,05/03/2023,49,8740,87.4
150,19/01/2023,4,24653,246.53
151,26/01/2023,11,24443,244.43
152,02/02/2023,18,16568,165.68
153,09/02/2023,25,8622,86.22
154,16/02/2023,32,12053,120.53
155,23/02/2023,39,12893,128.93
156,02/03/2023,46,9147,91.47
157,02/02/2023,18,6804,68.04
158,09/02/2023,25,6804,68.04
159,16/02/2023,32,6149,61.49
160,23/02/2023,39,6149,61.49
161,02/03/2023,46,6149,61.49
162,19/01/2023,4,8895,88.95
163,19/01/2023,4,8895,88.95
164,26/01/2023,11,10911,109.11
165,26/01/2023,11,10911,109.11
166,02/02/2023,18,8895,88.95
167,02/02/2023,18,8895,88.95
168,19/01/2023,4,7210,72.1
169,26/01/2023,11,9630,96.3
170,02/02/2023,18,9868,98.68
171,16/02/2023,32,9840,98.4
172,16/02/2023,32,9840,98.4
173,16/02/2023,32,9840,98.4
174,16/02/2023,32,9840,98.4
175,23/02/2023,39,9840,98.4
176,02/03/2023,46,9840,98.4
177,02/03/2023,46,9840,98.4
178,02/03/2023,46,9840,98.4
179,02/03/2023,46,9840,98.4
180,26/01/2023,11,12045,120.45
181,26/01/2023,11,12045,120.45
182,02/02/2023,18,7704,77.04
183,02/02/2023,18,7704,77.04
184,09/02/2023,25,8895,88.95
185,09/02/2023,25,8895,88.95
186,16/02/2023,32,7704,77.04
187,16/02/2023,32,7704,77.04
188,02/03/2023,46,9139,91.39
189,02/03/2023,46,8895,88.95
190,02/03/2023,46,8895,88.95
191,19/01/2023,4,6872,68.72
192,19/01/2023,4,6872,68.72
193,01/03/2023,45,7194,71.94
194,18/01/2023,3,6872,68.72
195,25/01/2023,10,5291,52.91
196,01/02/2023,17,5291,52.91
197,08/02/2023,24,4827,48.27
198,18/01/2023,3,19945,199.45
199,18/01/2023,3,17746,177.46
200,18/01/2023,3,6873,68.73
201,25/01/2023,10,8412,84.12
202,25/01/2023,10,8412,84.12
203,25/01/2023,10,6873,68.73
204,01/02/2023,17,5302,53.02
205,01/02/2023,17,4935,49.35
206,01/02/2023,17,6007,60.07
207,08/02/2023,24,6007,60.07
208,08/02/2023,24,5817,58.17
209,08/02/2023,24,6007,60.07
210,15/02/2023,31,6007,60.07
211,15/02/2023,31,5252,52.52
212,15/02/2023,31,6007,60.07
213,22/02/2023,38,6007,60.07
214,22/02/2023,38,5252,52.52
215,22/02/2023,38,6007,60.07
216,01/03/2023,45,6007,60.07
217,01/03/2023,45,5741,57.41
218,01/03/2023,45,6007,60.07
219,18/01/2023,3,11782,117.82
220,18/01/2023,3,14039,140.39
221,18/01/2023,3,8696,86.96
222,18/01/2023,3,24664,246.64
223,18/01/2023,3,15719,157.19
224,18/01/2023,3,9368,93.68
225,18/01/2023,3,15719,157.19
226,18/01/2023,3,9892,98.92
227,25/01/2023,10,11362,113.62
228,25/01/2023,10,14564,145.64
229,25/01/2023,10,9577,95.77
230,25/01/2023,10,22309,223.09
231,25/01/2023,10,13199,131.99
232,25/01/2023,10,12307,123.07
233,25/01/2023,10,30665,306.65
234,25/01/2023,10,12727,127.27
235,25/01/2023,10,14512,145.12
236,25/01/2023,10,10930,109.3
237,01/02/2023,17,12254,122.54
238,01/02/2023,17,9608,96.08
239,01/02/2023,17,6932,69.32
240,01/02/2023,17,10133,101.33
241,01/02/2023,17,8798,87.98
242,01/02/2023,17,12254,122.54
